Date,TxType,Value
2020-06-01,RTGS-Vol,4.85
2020-06-02,RTGS-Vol,4.54
2020-06-03,RTGS-Vol,4.3
2020-06-04,RTGS-Vol,4.35
2020-06-05,RTGS-Vol,4.56
2020-06-06,RTGS-Vol,3.79
2020-06-07,RTGS-Vol,
2020-06-08,RTGS-Vol,5.33
2020-06-09,RTGS-Vol,4.95
2020-06-10,RTGS-Vol,4.79
2020-06-11,RTGS-Vol,4.68
2020-06-12,RTGS-Vol,5.23
2020-06-13,RTGS-Vol,
2020-06-14,RTGS-Vol,
2020-06-15,RTGS-Vol,6.74
2020-06-16,RTGS-Vol,5.31
2020-06-17,RTGS-Vol,4.97
2020-06-18,RTGS-Vol,4.79
2020-06-19,RTGS-Vol,4.72
2020-06-20,RTGS-Vol,3.87
2020-06-21,RTGS-Vol,
2020-06-22,RTGS-Vol,5.14
2020-06-23,RTGS-Vol,4.79
2020-06-24,RTGS-Vol,4.8
2020-06-25,RTGS-Vol,4.74
2020-06-26,RTGS-Vol,5.29
2020-06-27,RTGS-Vol,
2020-06-28,RTGS-Vol,
2020-06-29,RTGS-Vol,7.01
2020-06-30,RTGS-Vol,6.14
2020-07-01,RTGS-Vol,4.91
2020-07-02,RTGS-Vol,4.69
2020-07-03,RTGS-Vol,4.69
2020-07-04,RTGS-Vol,3.8
2020-07-05,RTGS-Vol,
2020-07-06,RTGS-Vol,5.23
2020-07-07,RTGS-Vol,4.94
2020-07-08,RTGS-Vol,4.75
2020-07-09,RTGS-Vol,4.74
2020-07-10,RTGS-Vol,5.2
2020-07-11,RTGS-Vol,
2020-07-12,RTGS-Vol,
2020-07-13,RTGS-Vol,6.45
2020-07-14,RTGS-Vol,5.21
2020-07-15,RTGS-Vol,4.97
2020-07-16,RTGS-Vol,4.67
2020-07-17,RTGS-Vol,4.58
2020-07-18,RTGS-Vol,3.37
2020-07-19,RTGS-Vol,
2020-07-20,RTGS-Vol,5.21
2020-07-21,RTGS-Vol,4.8
2020-07-22,RTGS-Vol,4.69
2020-07-23,RTGS-Vol,4.46
2020-07-24,RTGS-Vol,5.27
2020-07-25,RTGS-Vol,
2020-07-26,RTGS-Vol,
2020-07-27,RTGS-Vol,6.57
2020-07-28,RTGS-Vol,5.51
2020-07-29,RTGS-Vol,4.96
2020-07-30,RTGS-Vol,5.47
2020-07-31,RTGS-Vol,5.64
2020-08-01,RTGS-Vol,
2020-08-02,RTGS-Vol,
2020-08-03,RTGS-Vol,4.09
2020-08-04,RTGS-Vol,5.5
2020-08-05,RTGS-Vol,4.81
2020-08-06,RTGS-Vol,5.0
2020-08-07,RTGS-Vol,5.7
2020-08-08,RTGS-Vol,
2020-08-09,RTGS-Vol,
2020-08-10,RTGS-Vol,7.03
2020-08-11,RTGS-Vol,4.76
2020-08-12,RTGS-Vol,3.65
2020-08-13,RTGS-Vol,5.55
2020-08-14,RTGS-Vol,5.72
2020-08-15,RTGS-Vol,
2020-08-16,RTGS-Vol,
2020-08-17,RTGS-Vol,6.2
2020-08-18,RTGS-Vol,5.58
2020-08-19,RTGS-Vol,5.22
2020-08-20,RTGS-Vol,4.84
2020-08-21,RTGS-Vol,5.24
2020-08-22,RTGS-Vol,
2020-08-23,RTGS-Vol,
2020-08-24,RTGS-Vol,6.59
2020-08-25,RTGS-Vol,5.65
2020-08-26,RTGS-Vol,5.4
2020-08-27,RTGS-Vol,5.05
2020-08-28,RTGS-Vol,5.64
2020-08-29,RTGS-Vol,3.63
2020-08-30,RTGS-Vol,
2020-08-31,RTGS-Vol,5.92
2020-09-01,RTGS-Vol,5.09
2020-09-02,RTGS-Vol,4.41
2020-09-03,RTGS-Vol,5.22
2020-09-04,RTGS-Vol,5.24
2020-09-05,RTGS-Vol,4.05
2020-09-06,RTGS-Vol,
2020-09-07,RTGS-Vol,5.39
2020-09-08,RTGS-Vol,5.46
2020-09-09,RTGS-Vol,5.2
2020-09-10,RTGS-Vol,5.16
2020-09-11,RTGS-Vol,5.32
2020-09-12,RTGS-Vol,
2020-09-13,RTGS-Vol,
2020-09-14,RTGS-Vol,7.13
2020-09-15,RTGS-Vol,5.82
2020-09-16,RTGS-Vol,5.36
2020-09-17,RTGS-Vol,4.37
2020-09-18,RTGS-Vol,5.37
2020-09-19,RTGS-Vol,4.24
2020-09-20,RTGS-Vol,
2020-09-21,RTGS-Vol,5.61
2020-09-22,RTGS-Vol,5.5
2020-09-23,RTGS-Vol,5.16
2020-09-24,RTGS-Vol,5.24
2020-09-25,RTGS-Vol,5.75
2020-09-26,RTGS-Vol,
2020-09-27,RTGS-Vol,
2020-09-28,RTGS-Vol,7.39
2020-09-29,RTGS-Vol,6.26
2020-09-30,RTGS-Vol,6.35
2020-10-01,RTGS-Vol,5.91
2020-10-02,RTGS-Vol,
2020-10-03,RTGS-Vol,5.61
2020-10-04,RTGS-Vol,
2020-10-05,RTGS-Vol,6.22
2020-10-06,RTGS-Vol,5.77
2020-10-07,RTGS-Vol,5.6
2020-10-08,RTGS-Vol,5.34
2020-10-09,RTGS-Vol,6.16
2020-10-10,RTGS-Vol,
2020-10-11,RTGS-Vol,
2020-10-12,RTGS-Vol,7.3
2020-10-13,RTGS-Vol,6.17
2020-10-14,RTGS-Vol,5.73
2020-10-15,RTGS-Vol,5.48
2020-10-16,RTGS-Vol,5.85
2020-10-17,RTGS-Vol,4.7
2020-10-18,RTGS-Vol,
2020-10-19,RTGS-Vol,6.63
2020-10-20,RTGS-Vol,6.29
2020-10-21,RTGS-Vol,5.87
2020-10-22,RTGS-Vol,6.08
2020-10-23,RTGS-Vol,6.39
2020-10-24,RTGS-Vol,
2020-10-25,RTGS-Vol,
2020-10-26,RTGS-Vol,5.39
2020-10-27,RTGS-Vol,6.81
2020-10-28,RTGS-Vol,6.38
2020-10-29,RTGS-Vol,6.6
2020-10-30,RTGS-Vol,
2020-10-31,RTGS-Vol,5.91
2020-11-01,RTGS-Vol,
2020-11-02,RTGS-Vol,7.73
2020-11-03,RTGS-Vol,6.42
2020-11-04,RTGS-Vol,6.26
2020-11-05,RTGS-Vol,6.08
2020-11-06,RTGS-Vol,6.23
2020-11-07,RTGS-Vol,5.27
2020-11-08,RTGS-Vol,
2020-11-09,RTGS-Vol,7.15
2020-11-10,RTGS-Vol,7.01
2020-11-11,RTGS-Vol,7.0
2020-11-12,RTGS-Vol,7.04
2020-11-13,RTGS-Vol,6.5
2020-11-14,RTGS-Vol,
2020-11-15,RTGS-Vol,
2020-11-16,RTGS-Vol,3.06
2020-11-17,RTGS-Vol,5.75
2020-11-18,RTGS-Vol,5.66
2020-11-19,RTGS-Vol,5.76
2020-11-20,RTGS-Vol,5.67
2020-11-21,RTGS-Vol,4.47
2020-11-22,RTGS-Vol,
2020-11-23,RTGS-Vol,6.58
2020-11-24,RTGS-Vol,6.36
2020-11-25,RTGS-Vol,5.91
2020-11-26,RTGS-Vol,4.46
2020-11-27,RTGS-Vol,7.89
2020-11-28,RTGS-Vol,
2020-11-29,RTGS-Vol,
2020-11-30,RTGS-Vol,3.54
2020-12-01,RTGS-Vol,7.56
2020-12-02,RTGS-Vol,6.76
2020-12-03,RTGS-Vol,5.99
2020-12-04,RTGS-Vol,6.35
2020-12-05,RTGS-Vol,5.13
2020-12-06,RTGS-Vol,
2020-12-07,RTGS-Vol,6.59
2020-12-08,RTGS-Vol,5.25
2020-12-09,RTGS-Vol,5.97
2020-12-10,RTGS-Vol,5.86
2020-12-11,RTGS-Vol,6.46
2020-12-12,RTGS-Vol,0.0
2020-12-13,RTGS-Vol,
2020-12-14,RTGS-Vol,8.37
2020-12-15,RTGS-Vol,7.12
